 3       ( 0.333 , 0.964 )       ( 0.319 ,  1.45 )       ( 0.282 ,  2.07 )       ( 0.238 ,  2.86 )       ( 0.188 ,   3.8 )         1.99                                     
 6       ( 0.407 ,  1.22 )       ( 0.403 ,  1.86 )       ( 0.372 ,  2.72 )       ( 0.301 ,  3.66 )       ( 0.226 ,  4.68 )         1.98                                     
 9       ( 0.459 ,  1.39 )       ( 0.445 ,  2.08 )       ( 0.404 ,  2.99 )       ( 0.324 ,  3.98 )       ( 0.238 ,  5.02 )         1.98                                     
12       ( 0.493 ,  1.51 )       ( 0.47 ,  2.22 )       ( 0.421 ,  3.16 )       ( 0.336 ,  4.18 )       ( 0.246 ,  5.24 )         1.98                                      
15       ( 0.519 ,   1.6 )       ( 0.492 ,  2.35 )       ( 0.435 ,   3.3 )       ( 0.346 ,  4.35 )       ( 0.253 ,  5.44 )         1.98                                     
18       ( 0.546 ,   1.7 )       ( 0.509 ,  2.46 )       ( 0.448 ,  3.43 )       ( 0.353 ,  4.48 )       ( 0.259 ,   5.6 )         1.97                                     
21       ( 0.571 ,  1.79 )       ( 0.524 ,  2.55 )       ( 0.458 ,  3.53 )       ( 0.359 ,   4.6 )       ( 0.263 ,  5.73 )         1.97                                     
24       ( 0.596 ,  1.87 )       ( 0.539 ,  2.64 )       ( 0.468 ,  3.64 )       ( 0.365 ,   4.7 )       ( 0.266 ,  5.85 )         1.97                                     
27       ( 0.616 ,  1.94 )       ( 0.55 ,  2.71 )       ( 0.475 ,  3.72 )       ( 0.37 ,  4.79 )       ( 0.269 ,  5.94 )         1.97                                       
30       ( 0.633 ,     2 )       ( 0.562 ,  2.79 )       ( 0.481 ,  3.79 )       ( 0.374 ,  4.88 )       ( 0.272 ,  6.04 )         1.97                                     
33       ( 0.649 ,  2.06 )       ( 0.573 ,  2.85 )       ( 0.487 ,  3.86 )       ( 0.377 ,  4.95 )       ( 0.274 ,  6.12 )         1.97                                     
